Nickname,Name,Attack,Attack Modifier,Level,Attack Util,Attack Element Util,Attack Modifier Util,Card Type,Category,Value,Level Util,Lore,Skill Description,Win,Lose,Copies,Card Art,Value Art,Win Art,Lose Art,Suite
Tiny Sword,Tiny Sword,,{d4:+},,6,Physical,D4,Object,Weapon,5,,,Slay 3 enemies and the next Blacksmith card is free,,,,,null,null,null,
Knight's Helmet,Knight's Helmet,,{:+},,,,,Object,Armor,8,,,"When you roll 1-6} for damage, only a 3-6} damages you",,,,,null,null,null,
Iron Sword,Iron Sword,,{:+},,,,,Object,Weapon,3,,,Gain +1 attack when fighting Monsters.,,,,,null,null,null,
Steel Shield,Steel Shield,,{:+},,,,,Object,Armor,4,,,Block the first point of damage each encounter.,,,,,null,null,null,
Warhammer,Warhammer,,{:+},,,,,Object,Weapon,5,,,Deal double damage to Armor enemies.,,,,,null,null,null,
Elven Bow,Elven Bow,,{:+},,,,,Object,Weapon,4,,,Reroll one attack die per turn.,,,,,null,null,null,
Dwarven Axe,Dwarven Axe,,{:+},,,,,Object,Weapon,5,,,Gain +2 attack against Monsters.,,,,,null,null,null,
Chainmail,Chainmail,,{:+},,,,,Object,Armor,6,,,Reduce all incoming damage by 1.,,,,,null,null,null,
Spiked Mace,Spiked Mace,,{:+},,,,,Object,Weapon,4,,,"On a roll of 6, stun the enemy for one turn.",,,,,null,null,null,
Hunter's Knife,Hunter's Knife,,{:+},,,,,Object,Weapon,2,,,Gain +1 Gold when defeating Animal enemies.,,,,,null,null,null,
Great Helm,Great Helm,,{:+},,,,,Object,Helmet,5,,,Ignore the first critical hit against you.,,,,,null,null,null,
Boots of Swiftness,Boots of Swiftness,,{:+},,,,,Object,Foot,3,,,Move an extra space after winning a battle.,,,,,null,null,null,
Magic Buckler,Magic Buckler,,{:+},,,,,Object,Armor,4,,,"Once per game, negate all damage from an attack.",,,,,null,null,null,
Silver Spear,Silver Spear,,{:+},,,,,Object,Weapon,3,,,Gain +2 attack against Monsters and Spirits.,,,,,null,null,null,
Golden Gauntlets,Golden Gauntlets,,{:+},,,,,Object,Heirloom,4,,,Gain +1 to all attack rolls while equipped.,,,,,null,null,null,
Sturdy Greaves,Sturdy Greaves,,{:+},,,,,Object,Foot,2,,,Ignore movement penalties from terrain.,,,,,null,null,null,
Enchanted Cloak,Enchanted Cloak,,{:+},,,,,Object,Heirloom,3,,,Reroll one defense die per turn.,,,,,null,null,null,
Battle Axe,Battle Axe,,{:+},,,,,Object,Weapon,5,,,"If you defeat an enemy, gain 1 extra Gold.",,,,,null,null,null,
Knight's Shield,Knight's Shield,,{:+},,,,,Object,Armor,5,,,Block all damage from the first attack in each encounter.,,,,,null,null,null,
Viking Helm,Viking Helm,,{:+},,,,,Object,Helmet,3,,,Gain +1 attack when fighting in Forests.,,,,,null,null,null,
Leather Boots,Leather Boots,,{:+},,,,,Object,Foot,1,,,Move an extra space on your turn.,,,,,null,null,null,
Heirloom Blade,Heirloom Blade,,{:+},,,,,Object,Heirloom,6,,,"If you defeat 3 enemies, draw a bonus Blacksmith card.",,,,,null,null,null,
