Nickname,Name,Attack,Attack Modifier,Level,Attack Util,Attack Element Util,Attack Modifier Util,Card Type,Category,Value,Level Util,Lore,Skill Description,Win,Lose,Copies,Card Art,Value Art,Win Art,Lose Art,Suite
Skeleton Warrior,Skeleton Warrior,{physical:1},{d4:+},1,1,Physical,D4,Enemy,Monster,1,1,"The clack-clack-clack of his bones against the dungeon floor is the most terrifying sound you have ever heard. That's not because he is a horrifying creature of undeath, but because you know that in his bag of rattling bones are the missing pieces of your ""Dwarf Fortress"" LEGO set. He took it, and he has no intention of giving it back.",,Draw {loot:1} 1 Loot Card,Break and/or Discard a total of 2 cards,1,Fantasy Characters/!a!Tex_Dwarf_warrior_male_bg.webp,PH/coin.png,PH/win.png,PH/lose.png,Forest Encounter
Golem Brute,Golem Brute,{grass:8},,5,8,Grass,None,Enemy,Animal,3,5,,,Draw 3 Quest Cards and 1 Tavern Card,Discard 1 Anvil Card and Place 2 Monster Cards from your Stash to the bottom of their respective Monster Decks,1,Fantasy Cards/!a!FantasyCardsPack_007.webp,PH/coin.png,PH/win.png,PH/lose.png,City Encounter
Cursed Mirror,Cursed Mirror,{physical:2},,2,2,Physical,None,Enemy,Monster,1,2,"A shimmering mirror blocks your path, showing a twisted reflection of yourself. The reflection challenges you to single combat. If you win, shatter the mirror and gain a Magic Item. If you fail, lose 1 Strength permanently as your reflection steals part of your essence.",,Gain 1 Magic Item,Lose 1 Strength permanently,1,,PH/coin.png,PH/win.png,PH/lose.png,City Encounter
Gambling Goblin,Gambling Goblin,{physical:1},,1,1,Physical,None,Enemy,Monster,2,1,"A crafty goblin offers to play a game of chance. Pay 2 Gold to play. If you win, gain 4 Gold and a Random Item. If you lose, lose all your Gold but gain the goblin's Lucky Charm (+1 to all future dice rolls this game).",,Gain 4 Gold and a Random Item,Lose all Gold but gain Lucky Charm (+1 to all dice rolls),1,,PH/coin.png,PH/win.png,PH/lose.png,City Encounter
Weeping Statue,Weeping Statue,,,,0,Water,None,Place,,,1,An ancient stone statue weeps tears of liquid silver. Test Willpower. Success: Drink the tears and permanently increase one attribute by 1. Failure: Discard your most valuable possession and lose your next turn.,"Roll, 1-3} Discard most valuable possession and lose next turn

Roll, 4-6} Increase one attribute by 1.",,,1,,null,null,null,Event
Sphinx Riddle,Sphinx Riddle,{grass:3},{d6:+},3,3,Grass,D6,Enemy,Monster,2,3,"A majestic sphinx blocks the pass, speaking in riddles. Answer correctly to pass and gain 2 Experience. Fail and face the sphinx in battle (Strength 15, 3 Lives).",,Gain 2 Experience,Lose 2 Gold,1,,PH/coin.png,PH/win.png,PH/lose.png,Quest
Merchant of Souls,Merchant of Souls,,,,0,Physical,None,Event,,,1,"A hooded figure offers to trade memories for power. Trade an Experience point for a powerful artifact, or a Curse for full healing. Only visit once per game.",,Gain powerful artifact or full healing,Lose Experience or Curse,1,,null,null,null,Anvil
Dancing Flames,Dancing Flames,,{d6:+},,1,Fire,D6,Event,,1,1,"Enchanted flames dance in a circle, whispering secrets. Test Craft. Success: Learn a new spell. Failure: Lose 1 Life but gain immunity to fire-based attacks.",Lose 1 Life and earn a new spell,,,1,,null,null,null,Forest Encounter
Lonely Dragon,Lonely Dragon,{fire:5},{d12:+},5,5,Fire,D12,Enemy,Monster,5,5,"An ancient dragon sits alone in a cavern. Offer a story to befriend the dragon and receive a Talisman, or attempt to steal treasure while it sleeps (Risk: If caught, face its wrath).",,Gain 1 Loot Card,Face dragon's wrath if caught stealing,1,,PH/coin.png,PH/win.png,PH/lose.png,Forest Encounter
Time-Lost Knight,Time-Lost Knight,{physical:3},{d6:+},3,3,Physical,D6,Enemy,Monster,2,3,A noble knight from a bygone era challenges you to honorable combat. No magic or spells allowed. Victory grants the Knight's Blessing: +2 to all Honor-based encounters.,,Gain +2 roll to next encounter,Lose -2 roll to next encounter,1,,PH/coin.png,PH/win.png,PH/lose.png,City Encounter
