Card Nickname,Name,Copies,Cost 1,Cost 2,Cost 3,Attack,Defense,Card Type,Category,Text,Card Art
Waddle,Waddle,3,🔴,🟢,🔵,1,1,Action,Emperor,"Slippery Slide: Play this card to make all opponents' penguins slip and slide, causing them to shuffle to random players.",Fantasy Characters/!a!Tex_Dwarf_warrior_male_bg.webp
Pebbles,Pebbles,3,🟢,🔵,🔴,1,1,Trap,Adélie,"Penguin Parade: Swap one of your penguins with another player's penguin, but only if you both do a silly penguin dance together!",Fantasy Cards/!a!FantasyCardsPack_007.webp
Snowball,Snowball,3,🔵,🔴,🟢,2,1,Passive,King,"Fish Frenzy: All penguins go crazy for fish! Players must shout ""Fish!"" and grab the nearest card before it gets stolen.",Fantasy Cards/!a!FantasyCardsPack_006.webp
Chilly,Chilly,3,🔴,🔴,🔵,1,1,Action,Galápagos,"Penguin Teleport: Send a penguin on a magical journey to another player's collection. Abracadabra, it's theirs now!",Fantasy Cards/!a!FantasyCardsPack_009.webp
Flippers,Flippers,2,🔴,🔴,🟢,1,1,Trap,Emperor,"Penguin Pajama Party: All penguins gather for a pajama party, and players must reveal their hand while pretending to yawn dramatically.",Fantasy Cards/!a!FantasyCardsPack_019.webp
Igloo,Igloo,2,🔵,🔵,🟢,1,1,Passive,Adélie,Flipper Fiasco: Everyone's penguins start tap dancing uncontrollably. All players must tap their cards rhythmically until the music stops.,Fantasy Cards/!a!FantasyCardsPack_022.webp
Frosty,Frosty,2,🔵,🔵,🔴,2,1,Action,King,"Penguin Poop Power: Oh no! Your penguin has a pooping frenzy, and opponents must discard cards until they find a tissue card to clean up the mess.",Fantasy Cards/!a!FantasyCardsPack_025.webp
Bubbles,Bubbles,2,🟢,🟢,🔴,1,1,Trap,Galápagos,"Penguin Power Nap: Put one of your penguins to sleep for a turn, but they come back with extra energy on the next round.",Fantasy Cards/!a!FantasyCardsPack_026.webp
Pippin,Pippin,3,🟢,🟢,🔵,1,2,Passive,Emperor,Penguin Prophecy: Predict the future migration patterns of the penguins. Swap cards with the player who agrees with your prediction the most.,Fantasy Cards/!a!FantasyCardsPack_032.webp
Blizzard,Blizzard,3,🔴,🟢,🔵,1,1,Action,Adélie,Fishy Friends: Call upon a school of fish to distract opponents. They must play with their cards facing away from them until they catch a glimpse of a fish card.,Fantasy Cards/!a!FantasyCardsPack_033.webp
Squawk,Squawk,3,🟢,🔵,🔴,1,1,Trap,King,"Penguin Panic: Penguins are everywhere! Swap penguin cards with all players, creating mass confusion.",Fantasy Cards/!a!FantasyCardsPack_034.webp
Quack,Quack,2,🔵,🔴,🟢,3,2,Passive,Galápagos,Penguin Whisperer: Communicate with your penguins to gather information about opponents' hands. Speak only in penguin sounds until your next turn.,Fantasy Cards/!a!FantasyCardsPack_035.webp
Skipper,Skipper,2,🔴,🔴,🔵,2,1,Action,Emperor,Penguin Portal: Open a portal to a penguin paradise. All players must trade hands with the player on their left until the portal closes.,Fantasy Cards/!a!FantasyCardsPack_037.webp
Tuxedo,Tuxedo,2,🔴,🔴,🟢,1,2,Trap,Adélie,"Penguin Paparazzi: Snap a picture of an opponent's penguin without them noticing. If you succeed, steal one of their cards.",Fantasy Cards/!a!FantasyCardsPack_038.webp
Noodle,Noodle,3,🔵,🔵,🟢,1,2,Passive,King,Penguin Plunge: Dive into icy waters to retrieve a hidden penguin. Shuffle your hand with the discard pile and draw new cards.,Fantasy Cards/!a!FantasyCardsPack_039.webp
Pippin,Pippin,2,🔵,🔵,🔴,2,2,Action,Galápagos,Penguin Puddle: Penguins start melting into puddles! Swap your melted penguin with another player's puddle and reform them in your collection.,Fantasy Cards/!a!FantasyCardsPack_040.webp
Biscuit,Biscuit,2,🟢,🟢,🔴,2,1,Trap,Emperor,Penguin Polka: All players must dance the penguin polka for 30 seconds before they can take their turns.,Fantasy Cards/!a!FantasyCardsPack_041.webp
Popcorn,Popcorn,2,🟢,🟢,🔵,1,1,Passive,Adélie,"Penguin Papercut: Oops, your penguin got a paper cut! Players must trade one card from their collection for a Band-Aid card.",Fantasy Cards/!a!FantasyCardsPack_042.webp
Munchkin,Munchkin,2,🔴,🟢,🔵,1,1,Action,King,Penguin Pyramid: Stack your penguins to create a pyramid. Gain points for the tallest pyramid at the end of the round.,Fantasy Characters/!a!Tex_Dwarf_warrior_male_bg.webp
Pudding,Pudding,2,🟢,🔵,🔴,1,1,Trap,Galápagos,"Penguin Paradox: Play this card and argue why penguins are the best animals for 20 seconds. If you convince everyone, you get to take an extra turn.",Fantasy Cards/!a!FantasyCardsPack_007.webp
Cuddles,Cuddles,2,🔵,🔴,🟢,2,1,Passive,Emperor,Penguin Picasso: Grab a card and draw a penguin doodle on it. The player with the most artistic penguin wins a bonus card.,Fantasy Cards/!a!FantasyCardsPack_006.webp
Muffin,Muffin,2,🔴,🔴,🔵,1,2,Action,Adélie,Penguin Poltergeist: Play this card to swap a penguin from your collection with a ghostly penguin from another player's collection. Ghost penguins are translucent and worth extra points!,Fantasy Cards/!a!FantasyCardsPack_009.webp
Sparkle,Sparkle,2,🔴,🔴,🟢,2,1,Trap,King,"Penguin Power Surge: Charge up your penguins with electricity, causing them to zap another player's hand and force them to discard a card.",Fantasy Cards/!a!FantasyCardsPack_019.webp
Pancake,Pancake,2,🔵,🔵,🟢,2,1,Passive,Galápagos,"Penguin Periscope: Peek at the top card of the draw pile and then pretend to be a penguin periscope, quacking and flapping for the rest of the turn.",Fantasy Cards/!a!FantasyCardsPack_022.webp
